Time Bucket,1-Mains_A,2-Mains_B,3-Mains_C,4-Pump-Bomba piscina,5-Air Conditioner-Split salón de fiestas 1,6-Air Conditioner-Split salón de fiestas 2,7-Air Conditioner-Split Gym,8-Room/Multi-use Circuit-Tomas gym,9-Lights-Luces salón fiesta,10-Lights-Luces pasillos y baños AS,11-Lights-Luces perimetrales piscina,12-Room/Multi-use Circuit-Tomas de bar y cocina,13-Room/Multi-use Circuit-Tomas,14-Room/Multi-use Circuit-Tomas salón de fiesta,15-Lights-Luces exterior
2023-05-30,0.6415785300699869,1.1461568136601978,2.496369296044244,8.684838877783881e-06,0.0,0.1062838844132423,0.202706652302477,0.2649980350788434,0.0731086259427335,0.1587085800951057,0.6717172611355782,,,,
2023-05-31,1.9913139336193928,2.732427922800912,7.678138779520457,3.239655335744222e-05,0.0,0.0473666664915614,3.0132768117374846,0.9091249973788528,0.1988929006893105,0.3803711194749674,1.6762072525085343,,,,
2023-06-01,2.014737168392605,3.0037762621630564,7.791176480279498,2.6537551614973283e-05,0.0,0.1784838015680843,2.547866588165495,0.8452381388643051,0.1976540544319152,0.3695256760687298,2.0010335123503205,,,,
2023-06-02,2.0820865745109978,2.8755270543336864,7.135944708143869,3.753351608912151e-05,0.0,0.4375443310202493,2.932588842092355,0.6754479793812167,0.1987143074288633,0.408914728219774,1.7759906563076706,,,,
2023-06-03,1.6195634803803765,2.191637019385232,6.624173946439955,2.322532574335734e-05,0.0,0.0830384201423327,1.2686870801997183,0.359454544514815,0.1976813049170706,0.4021101380432977,1.257376948176755,,,,
2023-06-04,2.767080482673645,3.911393166819148,6.543329091006385,3.193025165134006e-05,0.0,0.3245780311452018,1.3382244916510582,0.5544182973082861,0.1952183596748775,1.2395721072064505,2.046806245954301,,,,
2023-06-05,1.8758970715798269,2.784106193927129,6.436285836797291,3.148551808463203e-05,0.0,0.2237724978129069,1.026820501291752,0.7600358530721399,0.2817307511968083,0.3500601892288526,1.4174494233373804,,,,
2023-06-06,0.7825072052892048,0.9960688472281564,2.5353599427911973,1.4836046430799696e-05,0.0,0.0717901830943425,8.752423657311334e-06,0.241290212944746,0.1100030236196518,0.1459318747491306,0.4115499776326285,,,,
2023-08-30,4.468634433875614,4.230832582511902,9.108052832212447,8.06985572582245,1.1974891076013778,1.227992817685869,7.502878139801025,0.5953200263528029,,,,,,,
2023-08-31,7.817696890544892,4.258306698109309,11.698868048019408,13.464378072082996,2.2366235517713755,2.276429088501401,6.85223315185653,0.7339605317138301,,,,,,,
2023-09-01,7.602754180768331,3.5512971349196967,11.58625468847381,13.442353523968324,2.2309845223935447,2.2688346525340606,5.46701964808782,0.532828168063561,,,,,,,
2023-09-02,7.617734442831674,2.583690891370773,11.50088683283806,13.425672464715372,2.238369699289534,2.2762533411365085,3.566761903232999,0.0002460630957285,,,,,,,
2023-09-03,7.825113861243988,1.4936653935591375,9.691547115847268,13.173648732119666,2.2178208367898726,2.25023673540963,1.4205410721482172,0.0001569404523902,,,,,,,
2023-09-04,7.72388876809796,5.050480783781801,13.347420918454484,13.012280041609076,2.199735500845639,2.231572078436297,8.439654481031083,0.6096667060742113,,,,,,,
2023-09-05,5.5199707477576165,4.80497237000433,10.1018582901622,8.514905665721098,2.194919611910454,2.2213454580216125,7.9433501041163534,1.1506693207628196,,,,,,,
